"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1590","ma-4 should toggle the switch ON and check text","","Fri May 02 17:49:36 UTC 2025","passed","Fri May 02 17:49:38 UTC 2025","","Forms screen","",""
"","10076","ma-1 sing up with valid credentials","","Fri May 02 17:49:26 UTC 2025","passed","Fri May 02 17:49:36 UTC 2025","","SingUp screen","",""
"","2424","ma-5 should verify dropdown selection","","Fri May 02 17:49:04 UTC 2025","passed","Fri May 02 17:49:07 UTC 2025","","Forms screen","",""
"","4235","ma-3 should type into input field and display result","","Fri May 02 17:48:58 UTC 2025","passed","Fri May 02 17:49:02 UTC 2025","","Forms screen","",""
"","11575","ma-1 sing up with valid credentials","","Fri May 02 17:48:54 UTC 2025","passed","Fri May 02 17:49:06 UTC 2025","","SingUp screen","",""
"","2400","ma-4 should toggle the switch ON and check text","","Fri May 02 17:49:02 UTC 2025","passed","Fri May 02 17:49:04 UTC 2025","","Forms screen","",""
"","2136","ma-5 should verify dropdown selection","","Fri May 02 17:49:38 UTC 2025","passed","Fri May 02 17:49:40 UTC 2025","","Forms screen","",""
"","9017","ma-2 should login with valid credentials","","Fri May 02 17:48:55 UTC 2025","passed","Fri May 02 17:49:04 UTC 2025","","Login screen","",""
"","7656","ma-2 should login with valid credentials","","Fri May 02 17:49:24 UTC 2025","passed","Fri May 02 17:49:31 UTC 2025","","Login screen","",""
"","3824","ma-3 should type into input field and display result","","Fri May 02 17:49:33 UTC 2025","passed","Fri May 02 17:49:36 UTC 2025","","Forms screen","",""
